"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.util.HashMap$EntrySet.iterator ()","0.104 ms (0%)","0.093 ms (0%)","0.104 ms (0%)","0.093 ms (0%)","362"
"java.lang.String.concat (String)","0.080 ms (0%)","0.091 ms (0%)","0.944 ms (0%)","0.941 ms (0%)","90"
"java.time.chrono.IsoChronology.isLeapYear (long)","0.082 ms (0%)","0.090 ms (0%)","0.082 ms (0%)","0.090 ms (0%)","123"
"java.util.TreeMap.put (Object, Object)","0.088 ms (0%)","0.090 ms (0%)","1.15 ms (0%)","1.14 ms (0%)","38"
"java.util.TreeMap.compare (Object, Object)","0.082 ms (0%)","0.089 ms (0%)","0.159 ms (0%)","0.161 ms (0%)","14"
"java.util.TreeMap.parentOf (java.util.TreeMap.Entry)","0.086 ms (0%)","0.089 ms (0%)","0.086 ms (0%)","0.089 ms (0%)","84"
"java.lang.String$CaseInsensitiveComparator.compare (String, String)","0.094 ms (0%)","0.089 ms (0%)","0.990 ms (0%)","0.987 ms (0%)","45"
"java.util.jar.JarFile.getEntry (String)","0.088 ms (0%)","0.088 ms (0%)","0.861 ms (0%)","0.853 ms (0%)","90"
"java.lang.ref.Cleaner$1.apply (java.lang.ref.Cleaner)","0.042 ms (0%)","0.088 ms (0%)","0.042 ms (0%)","0.088 ms (0%)","290"
"jdk.internal.misc.ScopedMemoryAccess.getLong (jdk.internal.foreign.MemorySessionImpl, Object, long)","0.060 ms (0%)","0.087 ms (0%)","0.140 ms (0%)","0.142 ms (0%)","180"
"java.lang.StringBuilder.append (int)","0.104 ms (0%)","0.086 ms (0%)","0.493 ms (0%)","0.485 ms (0%)","127"
"java.util.RegularEnumSet.add (Object)","0.104 ms (0%)","0.086 ms (0%)","0.302 ms (0%)","0.281 ms (0%)","255"
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull (String)","0.054 ms (0%)","0.086 ms (0%)","1.42 ms (0%)","1.41 ms (0%)","93"
"java.net.URLClassLoader.getAndVerifyPackage (String, java.util.jar.Manifest, java.net.URL)","0.084 ms (0%)","0.086 ms (0%)","0.538 ms (0%)","0.521 ms (0%)","45"
"jdk.internal.loader.URLClassPath$Loader$1.getContentLength ()","0.085 ms (0%)","0.085 ms (0%)","0.085 ms (0%)","0.085 ms (0%)","45"
"java.util.WeakHashMap.getTable ()","0.055 ms (0%)","0.084 ms (0%)","0.214 ms (0%)","0.217 ms (0%)","141"
"java.lang.Integer.compareTo (Object)","0.065 ms (0%)","0.082 ms (0%)","0.177 ms (0%)","0.183 ms (0%)","53"
"java.time.LocalDate.with (java.time.temporal.TemporalAdjuster)","0.082 ms (0%)","0.081 ms (0%)","0.105 ms (0%)","0.105 ms (0%)","2"
"jdk.internal.perf.PerfCounter.get ()","0.077 ms (0%)","0.081 ms (0%)","0.577 ms (0%)","0.560 ms (0%)","180"
"java.lang.Integer.compareTo (Integer)","0.062 ms (0%)","0.080 ms (0%)","0.097 ms (0%)","0.101 ms (0%)","53"
"java.lang.ClassLoader.getClassLoadingLock (String)","0.068 ms (0%)","0.079 ms (0%)","0.440 ms (0%)","0.428 ms (0%)","141"
"java.util.zip.ZipCoder.hash (String)","0.079 ms (0%)","0.077 ms (0%)","0.239 ms (0%)","0.230 ms (0%)","90"
"java.util.AbstractCollection.addAll (java.util.Collection)","0.092 ms (0%)","0.076 ms (0%)","0.374 ms (0%)","0.372 ms (0%)","42"
"java.util.WeakHashMap.hash (Object)","0.061 ms (0%)","0.075 ms (0%)","0.061 ms (0%)","0.075 ms (0%)","141"
"org.springframework.samples.petclinic.owner.PetTypeFormatter.print (Object, java.util.Locale)","0.076 ms (0%)","0.074 ms (0%)","0.094 ms (0%)","0.091 ms (0%)","32"
"java.security.SecureClassLoader.defineClass (String, byte[], int, int, java.security.CodeSource)","0.071 ms (0%)","0.074 ms (0%)","68.6 ms (0.4%)","53.8 ms (0.8%)","45"
"java.util.TreeMap$KeyIterator.next ()","0.061 ms (0%)","0.073 ms (0%)","0.170 ms (0%)","0.174 ms (0%)","50"
"java.util.TreeMap.addEntry (Object, Object, java.util.TreeMap.Entry, boolean)","0.073 ms (0%)","0.073 ms (0%)","0.541 ms (0%)","0.541 ms (0%)","24"
"java.util.concurrent.ConcurrentHashMap.put (Object, Object)","0.053 ms (0%)","0.072 ms (0%)","0.754 ms (0%)","0.697 ms (0%)","49"
"java.net.URLClassLoader.findClass (String)","0.070 ms (0%)","0.071 ms (0%)","643 ms (4%)","349 ms (5%)","45"
"java.util.Collections.eq (Object, Object)","0.051 ms (0%)","0.071 ms (0%)","0.069 ms (0%)","0.076 ms (0%)","38"
"java.lang.String$CaseInsensitiveComparator.compare (Object, Object)","0.069 ms (0%)","0.069 ms (0%)","1.6 ms (0%)","1.5 ms (0%)","45"
"jdk.internal.misc.ScopedMemoryAccess.putLong (jdk.internal.foreign.MemorySessionImpl, Object, long, long)","0.062 ms (0%)","0.069 ms (0%)","0.120 ms (0%)","0.113 ms (0%)","180"
"java.util.TreeMap$PrivateEntryIterator.nextEntry ()","0.069 ms (0%)","0.068 ms (0%)","0.112 ms (0%)","0.108 ms (0%)","58"
"java.util.WeakHashMap.expungeStaleEntries ()","0.061 ms (0%)","0.068 ms (0%)","0.144 ms (0%)","0.141 ms (0%)","141"
"jdk.internal.perf.PerfCounter.addElapsedTimeFrom (long)","0.064 ms (0%)","0.068 ms (0%)","0.798 ms (0%)","0.769 ms (0%)","90"
"java.util.Collections$SingletonSet.iterator ()","0.048 ms (0%)","0.067 ms (0%)","0.077 ms (0%)","0.085 ms (0%)","160"
"sun.net.www.ParseUtil.match (char, long, long)","0.057 ms (0%)","0.067 ms (0%)","0.057 ms (0%)","0.067 ms (0%)","359"
"jdk.internal.loader.Resource.getByteBuffer ()","0.052 ms (0%)","0.067 ms (0%)","0.119 ms (0%)","0.127 ms (0%)","45"
"jdk.internal.misc.ScopedMemoryAccess.getLongInternal (jdk.internal.foreign.MemorySessionImpl, Object, long)","0.062 ms (0%)","0.067 ms (0%)","0.062 ms (0%)","0.067 ms (0%)","180"
"java.util.Arrays$ArrayList.size ()","0.060 ms (0%)","0.067 ms (0%)","0.060 ms (0%)","0.067 ms (0%)","129"
"java.util.jar.JarFile.isMultiRelease ()","0.061 ms (0%)","0.066 ms (0%)","0.085 ms (0%)","0.085 ms (0%)","90"
"java.net.URL.toExternalForm ()","0.059 ms (0%)","0.066 ms (0%)","1.91 ms (0%)","1.79 ms (0%)","89"
"jdk.internal.misc.ScopedMemoryAccess.putLongInternal (jdk.internal.foreign.MemorySessionImpl, Object, long, long)","0.043 ms (0%)","0.065 ms (0%)","0.043 ms (0%)","0.065 ms (0%)","180"
"java.lang.Integer.getChars (int, int, byte[])","0.053 ms (0%)","0.063 ms (0%)","0.053 ms (0%)","0.063 ms (0%)","164"
"java.security.AccessController.executePrivileged (java.security.PrivilegedExceptionAction, java.security.AccessControlContext, Class)","0.074 ms (0%)","0.063 ms (0%)","643 ms (4%)","349 ms (5%)","45"
"java.lang.Package.isSealed ()","0.053 ms (0%)","0.062 ms (0%)","0.067 ms (0%)","0.070 ms (0%)","45"
"java.util.Collections$SingletonMap.get (Object)","0.057 ms (0%)","0.061 ms (0%)","0.130 ms (0%)","0.122 ms (0%)","31"
"java.util.Collections$UnmodifiableCollection.toArray ()","0.047 ms (0%)","0.061 ms (0%)","0.217 ms (0%)","0.213 ms (0%)","37"
"java.util.TreeSet.iterator ()","0.056 ms (0%)","0.060 ms (0%)","0.203 ms (0%)","0.202 ms (0%)","18"
"java.util.TreeMap.keyIterator ()","0.057 ms (0%)","0.060 ms (0%)","0.075 ms (0%)","0.077 ms (0%)","18"
"java.util.jar.JarFile.getJarEntry (String)","0.048 ms (0%)","0.060 ms (0%)","0.916 ms (0%)","0.912 ms (0%)","90"
"java.util.Collections$SingletonList.iterator ()","0.049 ms (0%)","0.059 ms (0%)","0.084 ms (0%)","0.081 ms (0%)","79"
"java.nio.MappedByteBuffer.position (int)","0.045 ms (0%)","0.059 ms (0%)","0.137 ms (0%)","0.133 ms (0%)","91"
"java.lang.ClassLoader.defineClassSourceLocation (java.security.ProtectionDomain)","0.050 ms (0%)","0.057 ms (0%)","1.2 ms (0%)","0.962 ms (0%)","45"
"java.util.ArrayList$SubList.size ()","0.053 ms (0%)","0.057 ms (0%)","0.081 ms (0%)","0.081 ms (0%)","26"
"java.util.concurrent.CopyOnWriteArrayList$COWIterator.next ()","0.046 ms (0%)","0.055 ms (0%)","0.067 ms (0%)","0.066 ms (0%)","24"
"java.util.Collections$SetFromMap.add (Object)","0.062 ms (0%)","0.054 ms (0%)","0.328 ms (0%)","0.314 ms (0%)","45"
"java.lang.Integer.parseInt (CharSequence, int, int, int)","0.056 ms (0%)","0.054 ms (0%)","0.156 ms (0%)","0.152 ms (0%)","4"
"java.nio.DirectLongBufferU.ix (int)","0.025 ms (0%)","0.054 ms (0%)","0.025 ms (0%)","0.054 ms (0%)","360"
"org.springframework.samples.petclinic.owner.Pet.addVisit (org.springframework.samples.petclinic.owner.Visit)","0.050 ms (0%)","0.053 ms (0%)","0.154 ms (0%)","0.147 ms (0%)","12"
"java.util.EnumSet.typeCheck (Enum)","0.062 ms (0%)","0.053 ms (0%)","0.062 ms (0%)","0.053 ms (0%)","255"
"java.util.TreeSet.add (Object)","0.052 ms (0%)","0.052 ms (0%)","1.11 ms (0%)","1.10 ms (0%)","30"
"java.util.EnumMap.get (Object)","0.050 ms (0%)","0.051 ms (0%)","0.071 ms (0%)","0.072 ms (0%)","6"
"java.lang.System$2.findBootstrapClassOrNull (String)","0.041 ms (0%)","0.051 ms (0%)","0.632 ms (0%)","0.636 ms (0%)","48"
"java.lang.Thread.interrupted ()","0.041 ms (0%)","0.051 ms (0%)","0.051 ms (0%)","0.060 ms (0%)","45"
"java.util.zip.Inflater.setInput (byte[], int, int)","0.042 ms (0%)","0.051 ms (0%)","0.073 ms (0%)","0.061 ms (0%)","49"
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1.next ()","0.044 ms (0%)","0.049 ms (0%)","0.087 ms (0%)","0.092 ms (0%)","52"
"java.util.ArrayDeque.add (Object)","0.035 ms (0%)","0.049 ms (0%)","0.079 ms (0%)","0.087 ms (0%)","45"
"java.util.TimeZone.toZoneId ()","0.050 ms (0%)","0.047 ms (0%)","0.050 ms (0%)","0.047 ms (0%)","84"
"java.lang.Math.min (long, long)","0.035 ms (0%)","0.047 ms (0%)","0.035 ms (0%)","0.047 ms (0%)","95"
"java.time.LocalDate.of (int, java.time.Month, int)","0.044 ms (0%)","0.047 ms (0%)","0.078 ms (0%)","0.077 ms (0%)","2"
"java.net.URL.toString ()","0.058 ms (0%)","0.047 ms (0%)","1.97 ms (0%)","1.84 ms (0%)","89"
"java.util.Collections.unmodifiableList (java.util.List)","0.047 ms (0%)","0.047 ms (0%)","0.047 ms (0%)","0.047 ms (0%)","12"
"java.util.ImmutableCollections$Set12$1.hasNext ()","0.040 ms (0%)","0.045 ms (0%)","0.040 ms (0%)","0.045 ms (0%)","165"
"java.util.Collections.singletonIterator (Object)","0.051 ms (0%)","0.044 ms (0%)","0.051 ms (0%)","0.044 ms (0%)","239"
"java.util.IdentityHashMap$IdentityHashMapIterator.nextIndex ()","0.037 ms (0%)","0.043 ms (0%)","0.037 ms (0%)","0.043 ms (0%)","53"
"java.security.AccessController.doPrivileged (java.security.PrivilegedAction)","0.038 ms (0%)","0.043 ms (0%)","0.803 ms (0%)","0.775 ms (0%)","20"
"java.lang.Integer.stringSize (int)","0.043 ms (0%)","0.042 ms (0%)","0.043 ms (0%)","0.042 ms (0%)","164"
"java.util.zip.Inflater.needsInput ()","0.047 ms (0%)","0.042 ms (0%)","0.054 ms (0%)","0.051 ms (0%)","114"
"java.util.TreeMap.successor (java.util.TreeMap.Entry)","0.036 ms (0%)","0.041 ms (0%)","0.036 ms (0%)","0.041 ms (0%)","58"
"java.net.URLClassLoader$1.run ()","0.033 ms (0%)","0.041 ms (0%)","643 ms (4%)","349 ms (5%)","45"
"java.nio.Buffer$1.acquireSession (java.nio.Buffer)","0.052 ms (0%)","0.041 ms (0%)","0.066 ms (0%)","0.057 ms (0%)","91"
"org.springframework.samples.petclinic.owner.PetValidator.supports (Class)","0.037 ms (0%)","0.040 ms (0%)","0.037 ms (0%)","0.040 ms (0%)","12"
"java.util.Collections$1.next ()","0.035 ms (0%)","0.040 ms (0%)","0.035 ms (0%)","0.040 ms (0%)","239"
"java.util.ArrayDeque.addLast (Object)","0.036 ms (0%)","0.040 ms (0%)","0.048 ms (0%)","0.046 ms (0%)","56"
"org.springframework.samples.petclinic.owner.PetValidator.validate (Object, org.springframework.validation.Errors)","0.041 ms (0%)","0.039 ms (0%)","0.067 ms (0%)","0.067 ms (0%)","7"
"java.util.ImmutableCollections$Set12.iterator ()","0.044 ms (0%)","0.039 ms (0%)","0.044 ms (0%)","0.039 ms (0%)","55"
"java.util.concurrent.CopyOnWriteArrayList$COWIterator.hasNext ()","0.038 ms (0%)","0.039 ms (0%)","0.038 ms (0%)","0.039 ms (0%)","60"
"java.util.zip.Inflater.ensureOpen ()","0.042 ms (0%)","0.038 ms (0%)","0.042 ms (0%)","0.038 ms (0%)","159"
"java.util.TreeMap$KeySet.iterator ()","0.035 ms (0%)","0.037 ms (0%)","0.116 ms (0%)","0.114 ms (0%)","18"
"java.util.TreeMap.addEntryToEmptyMap (Object, Object)","0.034 ms (0%)","0.037 ms (0%)","0.198 ms (0%)","0.198 ms (0%)","14"
"java.net.URL.getDefaultPort ()","0.036 ms (0%)","0.037 ms (0%)","0.045 ms (0%)","0.039 ms (0%)","45"
"jdk.internal.loader.ClassLoaders$BootClassLoader.loadClassOrNull (String, boolean)","0.040 ms (0%)","0.036 ms (0%)","0.678 ms (0%)","0.672 ms (0%)","48"
"jdk.internal.loader.URLClassPath$Loader$1.getInputStream ()","0.025 ms (0%)","0.036 ms (0%)","0.025 ms (0%)","0.036 ms (0%)","45"
"java.util.ArrayList$SubList.checkForComodification ()","0.028 ms (0%)","0.036 ms (0%)","0.028 ms (0%)","0.036 ms (0%)","33"
"jdk.internal.loader.URLClassPath$JarLoader.checkJar (java.util.jar.JarFile)","0.025 ms (0%)","0.035 ms (0%)","0.042 ms (0%)","0.043 ms (0%)","45"
"java.util.WeakHashMap.matchesKey (java.util.WeakHashMap.Entry, Object)","0.024 ms (0%)","0.034 ms (0%)","0.049 ms (0%)","0.053 ms (0%)","47"
"java.util.ArrayDeque.inc (int, int)","0.014 ms (0%)","0.034 ms (0%)","0.014 ms (0%)","0.034 ms (0%)","109"
"java.nio.MappedByteBuffer.position (int)","0.027 ms (0%)","0.034 ms (0%)","0.080 ms (0%)","0.078 ms (0%)","91"
"java.util.Collections$EmptyList.size ()","0.026 ms (0%)","0.034 ms (0%)","0.026 ms (0%)","0.034 ms (0%)","66"
"org.springframework.samples.petclinic.vet.Vet.getNrOfSpecialties ()","0.034 ms (0%)","0.033 ms (0%)","0.041 ms (0%)","0.035 ms (0%)","10"
"java.util.LinkedHashMap$LinkedEntrySet.iterator ()","0.031 ms (0%)","0.033 ms (0%)","0.031 ms (0%)","0.033 ms (0%)","44"
"java.util.concurrent.CopyOnWriteArrayList.iterator ()","0.035 ms (0%)","0.032 ms (0%)","0.035 ms (0%)","0.032 ms (0%)","25"
"java.util.Arrays$ArrayItr.hasNext ()","0.020 ms (0%)","0.032 ms (0%)","0.020 ms (0%)","0.032 ms (0%)","123"
"java.time.LocalDate.isAfter (java.time.chrono.ChronoLocalDate)","0.028 ms (0%)","0.032 ms (0%)","0.038 ms (0%)","0.042 ms (0%)","7"
"java.util.zip.ZipFile$Source.getEntryHash (int)","0.031 ms (0%)","0.032 ms (0%)","0.031 ms (0%)","0.032 ms (0%)","185"
"java.lang.StringBuilder.charAt (int)","0.026 ms (0%)","0.031 ms (0%)","0.059 ms (0%)","0.059 ms (0%)","28"
"java.util.logging.LogManager.getProperty (String)","0.032 ms (0%)","0.031 ms (0%)","0.076 ms (0%)","0.071 ms (0%)","12"
"java.util.ImmutableCollections$Set12$1.next ()","0.034 ms (0%)","0.030 ms (0%)","0.034 ms (0%)","0.030 ms (0%)","110"
"java.util.concurrent.ConcurrentHashMap.setTabAt (java.util.concurrent.ConcurrentHashMap.Node[], int, java.util.concurrent.ConcurrentHashMap.Node)","0.027 ms (0%)","0.030 ms (0%)","0.042 ms (0%)","0.040 ms (0%)","18"
"java.lang.ClassLoader.getNamedPackage (String, Module)","0.036 ms (0%)","0.030 ms (0%)","0.095 ms (0%)","0.088 ms (0%)","45"
"java.lang.Character.digit (int, int)","0.031 ms (0%)","0.030 ms (0%)","0.048 ms (0%)","0.042 ms (0%)","8"
"java.util.AbstractCollection.toArray (Object[])","0.026 ms (0%)","0.030 ms (0%)","0.062 ms (0%)","0.064 ms (0%)","4"
"java.util.TreeMap.leftOf (java.util.TreeMap.Entry)","0.027 ms (0%)","0.029 ms (0%)","0.027 ms (0%)","0.029 ms (0%)","18"
"java.util.ImmutableCollections$MapN.get (Object)","0.027 ms (0%)","0.029 ms (0%)","0.057 ms (0%)","0.056 ms (0%)","27"
"jdk.internal.loader.Resource.cachedInputStream ()","0.037 ms (0%)","0.029 ms (0%)","0.066 ms (0%)","0.064 ms (0%)","90"
"java.util.HashMap.computeIfAbsent (Object, java.util.function.Function)","0.025 ms (0%)","0.028 ms (0%)","0.051 ms (0%)","0.053 ms (0%)","14"
"java.util.AbstractCollection.toArray ()","0.029 ms (0%)","0.028 ms (0%)","0.055 ms (0%)","0.051 ms (0%)","8"
"java.util.ImmutableCollections$MapN.probe (Object)","0.023 ms (0%)","0.027 ms (0%)","0.026 ms (0%)","0.027 ms (0%)","14"
"java.util.Arrays$ArrayList.iterator ()","0.020 ms (0%)","0.026 ms (0%)","0.020 ms (0%)","0.026 ms (0%)","40"
"java.util.TreeMap.navigableKeySet ()","0.021 ms (0%)","0.026 ms (0%)","0.021 ms (0%)","0.026 ms (0%)","18"
"java.security.AccessController.checkContext (java.security.AccessControlContext, Class)","0.020 ms (0%)","0.026 ms (0%)","0.037 ms (0%)","0.038 ms (0%)","45"
"java.util.zip.Inflater.needsDictionary ()","0.019 ms (0%)","0.026 ms (0%)","0.019 ms (0%)","0.026 ms (0%)","114"
"java.util.ArrayDeque.size ()","0.025 ms (0%)","0.026 ms (0%)","0.033 ms (0%)","0.031 ms (0%)","39"
"java.util.logging.LogManager$4.run ()","0.029 ms (0%)","0.026 ms (0%)","0.103 ms (0%)","0.098 ms (0%)","1"
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1.next ()","0.032 ms (0%)","0.025 ms (0%)","0.121 ms (0%)","0.118 ms (0%)","52"
"java.util.IdentityHashMap.resize (int)","0.015 ms (0%)","0.025 ms (0%)","0.015 ms (0%)","0.025 ms (0%)","33"
"jdk.internal.misc.VM.isBooted ()","0.023 ms (0%)","0.025 ms (0%)","0.023 ms (0%)","0.025 ms (0%)","92"
"java.util.zip.Inflater.finished ()","0.021 ms (0%)","0.025 ms (0%)","0.021 ms (0%)","0.025 ms (0%)","114"
"java.nio.Buffer.hasRemaining ()","0.012 ms (0%)","0.025 ms (0%)","0.012 ms (0%)","0.025 ms (0%)","221"
"java.util.Collections$EmptyList.toArray ()","0.020 ms (0%)","0.025 ms (0%)","0.020 ms (0%)","0.025 ms (0%)","32"
"java.util.Collections$SingletonList.size ()","0.027 ms (0%)","0.025 ms (0%)","0.027 ms (0%)","0.025 ms (0%)","71"
"java.lang.Character.digit (char, int)","0.020 ms (0%)","0.025 ms (0%)","0.071 ms (0%)","0.067 ms (0%)","8"
"org.springframework.samples.petclinic.system.WelcomeController.welcome ()","0.028 ms (0%)","0.024 ms (0%)","0.028 ms (0%)","0.024 ms (0%)","2"
"java.util.TreeMap.setColor (java.util.TreeMap.Entry, boolean)","0.019 ms (0%)","0.024 ms (0%)","0.019 ms (0%)","0.024 ms (0%)","20"
"java.util.zip.ZipFile.ensureOpen ()","0.019 ms (0%)","0.024 ms (0%)","0.019 ms (0%)","0.024 ms (0%)","90"
"java.util.HashSet.toArray ()","0.019 ms (0%)","0.024 ms (0%)","0.026 ms (0%)","0.028 ms (0%)","10"
"org.springframework.samples.petclinic.owner.OwnerController.initCreationForm (java.util.Map)","0.025 ms (0%)","0.023 ms (0%)","0.119 ms (0%)","0.118 ms (0%)","1"
"java.util.TreeMap$PrivateEntryIterator.hasNext ()","0.029 ms (0%)","0.023 ms (0%)","0.029 ms (0%)","0.023 ms (0%)","83"
"jdk.internal.logger.DefaultLoggerFinder$1.run ()","0.027 ms (0%)","0.023 ms (0%)","0.050 ms (0%)","0.046 ms (0%)","2"
"java.util.AbstractList$Itr.next ()","0.021 ms (0%)","0.022 ms (0%)","0.030 ms (0%)","0.029 ms (0%)","12"
"jdk.internal.loader.URLClassPath$JarLoader.ensureOpen ()","0.016 ms (0%)","0.022 ms (0%)","0.016 ms (0%)","0.022 ms (0%)","90"
"org.springframework.samples.petclinic.owner.PetController.initUpdateForm (org.springframework.samples.petclinic.owner.Owner, int, org.springframework.ui.ModelMap, org.springframework.web.servlet.mvc.support.RedirectAttributes)","0.022 ms (0%)","0.021 ms (0%)","0.088 ms (0%)","0.088 ms (0%)","2"
"java.util.WeakHashMap.maskNull (Object)","0.012 ms (0%)","0.021 ms (0%)","0.012 ms (0%)","0.021 ms (0%)","141"
"java.util.jar.JarFile.checkForSpecialAttributes ()","0.016 ms (0%)","0.021 ms (0%)","0.016 ms (0%)","0.021 ms (0%)","90"
"java.util.zip.ZipFile$Source.getEntryNext (int)","0.020 ms (0%)","0.021 ms (0%)","0.020 ms (0%)","0.021 ms (0%)","185"
"java.util.ArrayDeque.elementAt (Object[], int)","0.011 ms (0%)","0.021 ms (0%)","0.011 ms (0%)","0.021 ms (0%)","101"
"java.lang.String.valueOf (Object)","0.021 ms (0%)","0.021 ms (0%)","0.071 ms (0%)","0.072 ms (0%)","10"
"java.util.logging.LogManager.createLoggerHandlers (String, String)","0.022 ms (0%)","0.021 ms (0%)","0.047 ms (0%)","0.046 ms (0%)","1"
"java.lang.ClassLoader.getSystemClassLoader ()","0.020 ms (0%)","0.021 ms (0%)","0.026 ms (0%)","0.026 ms (0%)","6"
"java.util.AbstractCollection.isEmpty ()","0.046 ms (0%)","0.021 ms (0%)","0.053 ms (0%)","0.032 ms (0%)","18"
"java.util.LinkedHashMap$LinkedValues.iterator ()","0.019 ms (0%)","0.020 ms (0%)","0.019 ms (0%)","0.020 ms (0%)","17"
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1.hasNext ()","0.022 ms (0%)","0.020 ms (0%)","0.029 ms (0%)","0.026 ms (0%)","68"
"java.util.Collections$EmptySet.size ()","0.014 ms (0%)","0.020 ms (0%)","0.014 ms (0%)","0.020 ms (0%)","41"
"java.util.Collections$UnmodifiableCollection.size ()","0.025 ms (0%)","0.020 ms (0%)","0.031 ms (0%)","0.024 ms (0%)","42"
"java.util.ArrayList.isEmpty ()","0.021 ms (0%)","0.020 ms (0%)","0.021 ms (0%)","0.020 ms (0%)","115"
"java.lang.Long.valueOf (long)","0.018 ms (0%)","0.020 ms (0%)","0.018 ms (0%)","0.020 ms (0%)","42"
"org.springframework.samples.petclinic.owner.Owner.addVisit (Integer, org.springframework.samples.petclinic.owner.Visit)","0.018 ms (0%)","0.019 ms (0%)","0.098 ms (0%)","0.099 ms (0%)","4"
"java.util.TreeMap$Values.iterator ()","0.010 ms (0%)","0.019 ms (0%)","0.013 ms (0%)","0.014 ms (0%)","7"
"java.util.Arrays$ArrayItr.next ()","0.008 ms (0%)","0.019 ms (0%)","0.008 ms (0%)","0.019 ms (0%)","83"
"jdk.internal.perf.PerfCounter.addTime (long)","0.014 ms (0%)","0.019 ms (0%)","0.255 ms (0%)","0.253 ms (0%)","45"
"java.util.zip.InflaterInputStream.ensureOpen ()","0.016 ms (0%)","0.019 ms (0%)","0.016 ms (0%)","0.019 ms (0%)","163"
"java.util.concurrent.ConcurrentHashMap$EntryIterator.next ()","0.018 ms (0%)","0.019 ms (0%)","0.034 ms (0%)","0.034 ms (0%)","8"
"java.util.HashSet.isEmpty ()","0.023 ms (0%)","0.019 ms (0%)","0.028 ms (0%)","0.025 ms (0%)","28"
"java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet.iterator ()","0.017 ms (0%)","0.018 ms (0%)","0.027 ms (0%)","0.026 ms (0%)","16"
"java.util.TreeMap.getFirstEntry ()","0.017 ms (0%)","0.018 ms (0%)","0.017 ms (0%)","0.018 ms (0%)","25"
"jdk.internal.perf.PerfCounter.increment ()","0.011 ms (0%)","0.018 ms (0%)","0.207 ms (0%)","0.208 ms (0%)","45"
"jdk.internal.loader.BuiltinClassLoader.hasClassPath ()","0.012 ms (0%)","0.018 ms (0%)","0.012 ms (0%)","0.018 ms (0%)","90"
"java.util.TreeMap.get (Object)","0.024 ms (0%)","0.018 ms (0%)","0.070 ms (0%)","0.068 ms (0%)","12"
"java.util.HashSet.size ()","0.015 ms (0%)","0.018 ms (0%)","0.015 ms (0%)","0.018 ms (0%)","55"
"java.lang.AbstractStringBuilder.charAt (int)","0.019 ms (0%)","0.018 ms (0%)","0.032 ms (0%)","0.028 ms (0%)","28"
"java.util.logging.LogManager.getBooleanProperty (String, boolean)","0.019 ms (0%)","0.018 ms (0%)","0.059 ms (0%)","0.056 ms (0%)","1"
"org.springframework.samples.petclinic.owner.OwnerController.initFindForm ()","0.018 ms (0%)","0.017 ms (0%)","0.018 ms (0%)","0.017 ms (0%)","2"
"org.springframework.samples.petclinic.owner.PetTypeFormatter.print (org.springframework.samples.petclinic.owner.PetType, java.util.Locale)","0.016 ms (0%)","0.017 ms (0%)","0.016 ms (0%)","0.017 ms (0%)","32"
"java.time.LocalDateTime.of (java.time.LocalDate, java.time.LocalTime)","0.019 ms (0%)","0.017 ms (0%)","0.021 ms (0%)","0.020 ms (0%)","2"
"java.security.CodeSource.getCertificates ()","0.016 ms (0%)","0.017 ms (0%)","0.016 ms (0%)","0.017 ms (0%)","90"
"java.util.ImmutableCollections$SetN.iterator ()","0.012 ms (0%)","0.016 ms (0%)","0.012 ms (0%)","0.016 ms (0%)","16"
"java.util.concurrent.ConcurrentHashMap$EntryIterator.next ()","0.017 ms (0%)","0.016 ms (0%)","0.051 ms (0%)","0.051 ms (0%)","8"
"jdk.internal.perf.PerfCounter.getReadClassBytesTime ()","0.014 ms (0%)","0.016 ms (0%)","0.014 ms (0%)","0.016 ms (0%)","45"
"java.lang.Module.isNamed ()","0.020 ms (0%)","0.016 ms (0%)","0.020 ms (0%)","0.016 ms (0%)","92"
"jdk.internal.logger.DefaultLoggerFinder$1.run ()","0.017 ms (0%)","0.016 ms (0%)","0.067 ms (0%)","0.062 ms (0%)","2"
"java.util.logging.LogManager$4.run ()","0.015 ms (0%)","0.016 ms (0%)","0.118 ms (0%)","0.114 ms (0%)","1"
"java.util.logging.LogManager.setLoggerHandlers (java.util.logging.Logger, String, String, java.util.List)","0.019 ms (0%)","0.016 ms (0%)","0.026 ms (0%)","0.024 ms (0%)","1"
"java.util.logging.LogManager$LoggerContext$1.run ()","0.015 ms (0%)","0.015 ms (0%)","0.381 ms (0%)","0.363 ms (0%)","1"
"java.util.TreeMap.getEntry (Object)","0.012 ms (0%)","0.015 ms (0%)","0.027 ms (0%)","0.028 ms (0%)","6"
"org.springframework.samples.petclinic.owner.VisitController.initNewVisitForm ()","0.013 ms (0%)","0.013 ms (0%)","0.013 ms (0%)","0.013 ms (0%)","4"
"java.util.LinkedHashMap.afterNodeRemoval (java.util.HashMap.Node)","0.007 ms (0%)","0.013 ms (0%)","0.007 ms (0%)","0.013 ms (0%)","21"
