"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.util.concurrent.ConcurrentHashMap.get (Object)","28.8 ms (0.7%)","4.70 ms (0.4%)","62.4 ms (0.4%)","9.4 ms (0.1%)","2,950"
"java.util.Arrays.copyOf (Object[], int, Class)","4.39 ms (0.1%)","4.29 ms (0.3%)","6.41 ms (0%)","6.22 ms (0.1%)","3,275"
"java.lang.String.startsWith (String, int)","4.41 ms (0.1%)","4.20 ms (0.3%)","11.0 ms (0.1%)","10.4 ms (0.1%)","6,501"
"java.lang.Integer.valueOf (int)","3.96 ms (0.1%)","3.76 ms (0.3%)","3.96 ms (0%)","3.76 ms (0.1%)","6,991"
"jdk.internal.loader.Resource.getBytes ()","11.7 ms (0.3%)","3.57 ms (0.3%)","15.9 ms (0.1%)","7.55 ms (0.1%)","45"
"java.util.Arrays.copyOf (Object[], int)","3.46 ms (0.1%)","3.55 ms (0.3%)","9.4 ms (0.1%)","8.90 ms (0.1%)","2,860"
"java.time.Instant.ofEpochSecond (long, long)","3.44 ms (0.1%)","3.38 ms (0.3%)","6.53 ms (0%)","6.9 ms (0.1%)","1,108"
"java.util.concurrent.ConcurrentHashMap.tabAt (java.util.concurrent.ConcurrentHashMap.Node[], int)","3.22 ms (0.1%)","3.29 ms (0.3%)","5.15 ms (0%)","4.68 ms (0.1%)","6,733"
"java.util.HashMap.getNode (Object)","3.52 ms (0.1%)","3.26 ms (0.3%)","8.96 ms (0.1%)","8.61 ms (0.1%)","5,062"
"java.util.HashSet.iterator ()","3.19 ms (0.1%)","3.16 ms (0.2%)","5.59 ms (0%)","5.56 ms (0.1%)","2,867"
"java.util.Objects.checkIndex (int, int)","3.22 ms (0.1%)","3.14 ms (0.2%)","3.31 ms (0%)","3.22 ms (0%)","8,026"
"java.util.Arrays.copyOfRange (byte[], int, int)","3.12 ms (0.1%)","3.6 ms (0.2%)","3.56 ms (0%)","3.51 ms (0.1%)","8,860"
"java.util.Collections$EmptyList.iterator ()","3.20 ms (0.1%)","3.5 ms (0.2%)","4.63 ms (0%)","4.44 ms (0.1%)","2,559"
"java.util.HashMap$KeyIterator.next ()","3.10 ms (0.1%)","3.3 ms (0.2%)","4.81 ms (0%)","4.73 ms (0.1%)","5,738"
"java.lang.Math.max (int, int)","3.10 ms (0.1%)","3.2 ms (0.2%)","3.10 ms (0%)","3.2 ms (0%)","6,015"
"java.util.HashMap$HashIterator.hasNext ()","2.88 ms (0.1%)","2.94 ms (0.2%)","2.88 ms (0%)","2.94 ms (0%)","9,997"
"java.util.ArrayList.grow ()","3.28 ms (0.1%)","2.84 ms (0.2%)","8.38 ms (0.1%)","7.77 ms (0.1%)","2,632"
"java.lang.String.indexOf (int, int)","2.94 ms (0.1%)","2.80 ms (0.2%)","8.96 ms (0.1%)","8.32 ms (0.1%)","6,537"
"java.lang.StringLatin1.canEncode (int)","29.9 ms (0.8%)","2.76 ms (0.2%)","29.9 ms (0.2%)","2.76 ms (0%)","12,791"
"org.springframework.samples.petclinic.owner.OwnerController.initUpdateOwnerForm (int, org.springframework.ui.Model)","2.63 ms (0.1%)","2.66 ms (0.2%)","4.76 ms (0%)","4.76 ms (0.1%)","1"
"java.util.ArrayList.elementData (int)","3.2 ms (0.1%)","2.64 ms (0.2%)","3.2 ms (0%)","2.64 ms (0%)","7,030"
